broad_group,period_dt,bloc,weighted_price,q25,q75
Graphite,2017-01-01,Adversary,2.489688941003704,2.2217268355269333,2.7001791965555015
Graphite,2017-01-01,Intermediary,2.0669540214130184,1.8092892996095973,2.029843280418432
Graphite,2017-02-01,Adversary,2.222559146359788,1.9150831566784683,2.4312384381328354
Graphite,2017-02-01,Intermediary,2.0006828100126155,1.4641901061368743,2.086495419172881
Graphite,2017-03-01,Adversary,2.1004004027485994,1.8125310989270758,2.4357054719046234
Graphite,2017-03-01,Intermediary,1.7549692640958852,1.5352676046793696,1.6538986630574226
Graphite,2017-04-01,Adversary,2.220491521756106,1.8729413202127603,2.4441510114528375
Graphite,2017-04-01,Intermediary,1.7815250201441188,1.4629581102649818,1.8442500232384444
Graphite,2017-05-01,Adversary,2.195461782955522,2.106701028926283,2.2397896289429373
Graphite,2017-05-01,Intermediary,1.7701258654010363,1.5146905734873601,1.7273929423117522
Graphite,2017-06-01,Adversary,2.2008827078476054,2.0050510382896842,2.4234484144693567
Graphite,2017-06-01,Intermediary,1.8914265076451877,1.4808328569395104,1.8736221462983997
Graphite,2017-07-01,Adversary,2.141177120458517,1.794210559198515,2.5217632182836454
Graphite,2017-07-01,Intermediary,1.9939247905380117,1.485637754234714,2.1501914031161404
Graphite,2017-08-01,Adversary,2.3492089210814333,1.8955253343950498,2.7366234233832074
Graphite,2017-08-01,Intermediary,1.8428291055026171,1.450404831195539,1.6961729644378671
Graphite,2017-09-01,Adversary,2.178301405297696,1.8993965151904602,2.3339731662740784
Graphite,2017-09-01,Intermediary,1.9808773495050311,1.6437590105764208,2.0817743910149926
Graphite,2017-10-01,Adversary,2.4343299040945854,2.174003948743456,2.485996199984301
Graphite,2017-10-01,Intermediary,2.081325101118855,1.6676581021225771,2.3878245981874957
Graphite,2017-11-01,Adversary,2.117533866339647,2.017578144887038,2.2151953138599865
Graphite,2017-11-01,Intermediary,2.138159527631554,1.5854835303384285,2.424889537789484
Graphite,2017-12-01,Adversary,2.3883375349377105,2.168185661891322,2.6125883264514944
Graphite,2017-12-01,Intermediary,2.150157324057412,1.7209966928034082,2.477477297685764
Graphite,2018-01-01,Adversary,1.1590884231893748,0.8375474487285909,1.5033749977590003
Graphite,2018-01-01,Intermediary,0.9868095623328462,0.6954305178414716,1.2201178497562668
Graphite,2018-02-01,Adversary,1.4112844273179468,1.1804659322165416,1.7087830112710565
Graphite,2018-02-01,Intermediary,1.0997482005762267,0.8367042374843936,1.2328809953203697
Graphite,2018-03-01,Adversary,1.431655661016346,0.9541014626660673,1.6219699540842876
Graphite,2018-03-01,Intermediary,1.255685822654726,0.834381239168328,1.2327214287916117
Graphite,2018-04-01,Adversary,1.4099313831310898,0.991909073134116,1.860092022710229
Graphite,2018-04-01,Intermediary,1.2954735779632007,0.7999143403178971,1.474582724788943
Graphite,2018-05-01,Adversary,1.4438998860059362,1.0489650780128226,1.9891079434393928
Graphite,2018-05-01,Intermediary,1.2484650192051856,0.873670959697785,1.4088199675814006
Graphite,2018-06-01,Adversary,1.3891383701461613,0.6999194734894123,1.7825417771646728
Graphite,2018-06-01,Intermediary,1.2079454108227872,0.9423656347694085,1.3988160268911294
Graphite,2018-07-01,Adversary,1.4438246949039921,1.0490237124660566,1.9039965671168517
Graphite,2018-07-01,Intermediary,1.0951721105756218,0.8632078966163987,1.300403231055934
Graphite,2018-08-01,Adversary,1.6161850482925906,0.9204851147763468,2.056715891617498
Graphite,2018-08-01,Intermediary,1.1544266896985926,0.9468419875761374,1.3045019526107777
Graphite,2018-09-01,Adversary,1.831314336136884,1.0572619915971246,1.9656211865788356
Graphite,2018-09-01,Intermediary,1.249693642070865,0.7902315131080755,1.4507804471335972
Graphite,2018-10-01,Adversary,1.5877452215772487,0.9771785134127615,2.2748113158359122
Graphite,2018-10-01,Intermediary,0.9508983487980157,0.690705216998264,1.2093547012335064
Graphite,2018-11-01,Adversary,1.9323359564832117,1.3372014518050364,2.45963705041325
Graphite,2018-11-01,Intermediary,1.0432885627811301,0.7582441018803575,1.424464348167467
Graphite,2018-12-01,Adversary,1.4772976999176242,0.9145048397780209,1.8635477954121467
Graphite,2018-12-01,Intermediary,1.203105749522466,0.8105384065274857,1.064485775955022
Graphite,2019-01-01,Adversary,1.586721661710286,1.011265413444862,2.064760262663783
Graphite,2019-01-01,Intermediary,1.0818163134660594,0.8096523855538961,0.9172336683930153
Graphite,2019-02-01,Adversary,1.697042944201192,0.9156431362131189,2.106116864920392
Graphite,2019-02-01,Intermediary,1.392009707282549,0.7824437211721254,0.8461467527206681
Graphite,2019-03-01,Adversary,1.9081404869853096,1.6420681055645756,2.6986011490681725
Graphite,2019-03-01,Intermediary,1.6913781695630732,0.7883892574180487,1.070759601491393
Graphite,2019-04-01,Adversary,1.484351112683202,1.0864680815454835,1.8133716834384583
Graphite,2019-04-01,Intermediary,1.3426915331355167,0.61326450174125,1.3171137180959098
Graphite,2019-05-01,Adversary,1.827641316750253,1.2551024623579634,2.5286871201827457
Graphite,2019-05-01,Intermediary,1.6750078581739964,0.6362791252893453,1.4163493785673338
Graphite,2019-06-01,Adversary,1.6422758274355087,0.9428430631748274,2.397054815213806
Graphite,2019-06-01,Intermediary,1.8066189933927024,0.8081345836001761,1.3635262029583843
Graphite,2019-07-01,Adversary,1.6145368055020133,1.0200745554811368,2.2906201199149447
Graphite,2019-07-01,Intermediary,1.405758205806622,0.7015051752778966,0.9487586631820099
Graphite,2019-08-01,Adversary,1.527245875258595,0.7215799654488566,2.1744030279534843
