period_dt,sq,broad_group
2019-06-01,0.3752752569979905,Gallium/Germanium
2019-07-01,0.4050919016613404,Gallium/Germanium
2019-08-01,0.49634078198657966,Gallium/Germanium
2019-09-01,0.5507341574875239,Gallium/Germanium
2019-10-01,0.5502340389823375,Gallium/Germanium
2019-11-01,0.5604016653600606,Gallium/Germanium
2019-12-01,0.6320242474460984,Gallium/Germanium
2020-01-01,0.43428341102088114,Gallium/Germanium
2020-02-01,0.370298058638938,Gallium/Germanium
2020-03-01,0.6108384600121363,Gallium/Germanium
2020-04-01,0.4863621748389509,Gallium/Germanium
2020-05-01,0.4259651135217085,Gallium/Germanium
2020-06-01,0.4692683024782746,Gallium/Germanium
2020-07-01,0.6582192249790049,Gallium/Germanium
2020-08-01,0.5870935335766533,Gallium/Germanium
2020-09-01,0.6248641275161847,Gallium/Germanium
2020-10-01,0.6529837218434262,Gallium/Germanium
2020-11-01,0.5936426022968935,Gallium/Germanium
2020-12-01,0.598996379037227,Gallium/Germanium
2021-01-01,0.5843358911974599,Gallium/Germanium
2021-02-01,0.553949957388121,Gallium/Germanium
2021-03-01,0.5393715258308366,Gallium/Germanium
2021-04-01,0.5380695521527191,Gallium/Germanium
2021-05-01,0.5454124105409854,Gallium/Germanium
2021-06-01,0.552383930683273,Gallium/Germanium
2021-07-01,0.5158167636528515,Gallium/Germanium
2021-08-01,0.5301710684780987,Gallium/Germanium
2021-09-01,0.5915507728668962,Gallium/Germanium
2021-10-01,0.6007280968220593,Gallium/Germanium
2021-11-01,0.4938611321170395,Gallium/Germanium
2021-12-01,0.5506076908436132,Gallium/Germanium
2022-01-01,0.5612284456714824,Gallium/Germanium
2022-02-01,0.5647022677364434,Gallium/Germanium
2022-03-01,0.4913068792543592,Gallium/Germanium
2022-04-01,0.5548973904097229,Gallium/Germanium
2022-05-01,0.5665919504322772,Gallium/Germanium
2022-06-01,0.6017638409154763,Gallium/Germanium
2022-07-01,0.4691383524397014,Gallium/Germanium
2022-08-01,0.5125944993638895,Gallium/Germanium
2022-09-01,0.6135826075724418,Gallium/Germanium
2022-10-01,0.5929321389328458,Gallium/Germanium
2022-11-01,0.5825032339576632,Gallium/Germanium
2022-12-01,0.5890892007013855,Gallium/Germanium
2023-01-01,0.5714090582689012,Gallium/Germanium
2023-02-01,0.6321105764541142,Gallium/Germanium
2023-03-01,0.6057281747558246,Gallium/Germanium
2023-04-01,0.6515007001112983,Gallium/Germanium
2023-05-01,0.6668404514379771,Gallium/Germanium
2023-06-01,0.6789178536604673,Gallium/Germanium
2023-07-01,0.5872763719311823,Gallium/Germanium
2023-08-01,0.6702427118548743,Gallium/Germanium
2023-09-01,0.5595814619699309,Gallium/Germanium
2023-10-01,0.5149758020346231,Gallium/Germanium
2023-11-01,0.42907524935066904,Gallium/Germanium
2023-12-01,0.4149419058416392,Gallium/Germanium
2024-01-01,0.544711453951309,Gallium/Germanium
2024-02-01,0.5378443946062521,Gallium/Germanium
2024-03-01,0.4504003792324995,Gallium/Germanium
2024-04-01,0.44222391597473976,Gallium/Germanium
2024-05-01,0.5156176056636045,Gallium/Germanium
2024-06-01,0.5175960040015916,Gallium/Germanium
2024-07-01,0.37243393989274004,Gallium/Germanium
2024-08-01,0.41300047821036445,Gallium/Germanium
2024-09-01,0.3360748045323131,Gallium/Germanium
2024-10-01,0.3677050334704578,Gallium/Germanium
2024-11-01,0.3127614544433743,Gallium/Germanium
2024-12-01,0.2949999005908223,Gallium/Germanium
2017-01-01,0.7094298386980192,Rare Earths
2017-02-01,0.709449101478778,Rare Earths
2017-03-01,0.65928489457369,Rare Earths
2017-04-01,0.6533399345640022,Rare Earths
2017-05-01,0.709243351738763,Rare Earths
2017-06-01,0.6830906518043433,Rare Earths
2017-07-01,0.7169515993787685,Rare Earths
2017-08-01,0.6994325093001194,Rare Earths
2017-09-01,0.6375576196895355,Rare Earths
2017-10-01,0.6866439097000763,Rare Earths
2017-11-01,0.6874413099209898,Rare Earths
2017-12-01,0.7114371497246691,Rare Earths
2018-01-01,0.7127632383381322,Rare Earths
2018-02-01,0.6714626465968349,Rare Earths
2018-03-01,0.6378588031664083,Rare Earths
2018-04-01,0.6667597377118858,Rare Earths
2018-05-01,0.6984776673726736,Rare Earths
2018-06-01,0.6611637023869407,Rare Earths
2018-07-01,0.7036137505187767,Rare Earths
2018-08-01,0.6252493801452899,Rare Earths
2018-09-01,0.6615650071470534,Rare Earths
2018-10-01,0.6651120685720345,Rare Earths
2018-11-01,0.6584969454707427,Rare Earths
2018-12-01,0.6529364863055124,Rare Earths
2019-01-01,0.6975778326866395,Rare Earths
2019-02-01,0.5753535284411402,Rare Earths
2019-03-01,0.6750260530533363,Rare Earths
2019-04-01,0.6467808680997779,Rare Earths
2019-05-01,0.6961217529472016,Rare Earths
2019-06-01,0.6159826860397871,Rare Earths
2019-07-01,0.6439256899103736,Rare Earths
2019-08-01,0.6894446133335249,Rare Earths
2019-09-01,0.7279184509439748,Rare Earths
2019-10-01,0.7382652705591957,Rare Earths
2019-11-01,0.7026052058494161,Rare Earths
2019-12-01,0.76885042435156,Rare Earths
2020-01-01,0.777694376084328,Rare Earths
2020-02-01,0.6634532993859813,Rare Earths
2020-03-01,0.5979779729935943,Rare Earths
2020-04-01,0.7188812204166419,Rare Earths
2020-05-01,0.7381993310376619,Rare Earths
2020-06-01,0.7080724041292431,Rare Earths
2020-07-01,0.7542586572664398,Rare Earths
2020-08-01,0.7704076564256714,Rare Earths
2020-09-01,0.8172719039514792,Rare Earths
2020-10-01,0.792314209524217,Rare Earths
2020-11-01,0.7583739592312803,Rare Earths
2020-12-01,0.7306740808230268,Rare Earths
2021-01-01,0.7521178414214332,Rare Earths
2021-02-01,0.6799962702814971,Rare Earths
2021-03-01,0.6331428197044731,Rare Earths
2021-04-01,0.6903072120701188,Rare Earths
2021-05-01,0.7098758182316491,Rare Earths
2021-06-01,0.707269362881873,Rare Earths
2021-07-01,0.6724052106755845,Rare Earths
2021-08-01,0.7329998984537867,Rare Earths
2021-09-01,0.7464484206074667,Rare Earths
2021-10-01,0.6838714738746008,Rare Earths
2021-11-01,0.7049867160157623,Rare Earths
2021-12-01,0.7241525322630198,Rare Earths
2022-01-01,0.7670637800877806,Rare Earths
2022-02-01,0.6376714168877794,Rare Earths
2022-03-01,0.589743327903918,Rare Earths
2022-04-01,0.6398727387532396,Rare Earths
2022-05-01,0.6420870370187647,Rare Earths
2022-06-01,0.7248804976198202,Rare Earths
2022-07-01,0.702363443420034,Rare Earths
2022-08-01,0.6768079093227963,Rare Earths
2022-09-01,0.6827686222339844,Rare Earths
2022-10-01,0.6190508145839531,Rare Earths
2022-11-01,0.6482680310102916,Rare Earths
2022-12-01,0.7199828601946561,Rare Earths
2023-01-01,0.6758538780715141,Rare Earths
2023-02-01,0.6594105760893486,Rare Earths
2023-03-01,0.6708301906246287,Rare Earths
2023-04-01,0.6773296008158407,Rare Earths
2023-05-01,0.6541881315944714,Rare Earths
2023-06-01,0.7530560317748535,Rare Earths
2023-07-01,0.7386316634119318,Rare Earths
2023-08-01,0.6849747717314455,Rare Earths
2023-09-01,0.7258963589793497,Rare Earths
