period_dt,broad_group,bloc,qty
2018-02-01,Rare Earths,Adversary,7566508.073
2018-02-01,Rare Earths,Intermediary,4137570.066
2018-03-01,Gallium/Germanium,Adversary,10044694.0
2018-03-01,Gallium/Germanium,Intermediary,2518819.605
2018-03-01,Graphite,Adversary,32488009.0
2018-03-01,Graphite,Intermediary,5844326.0
2018-03-01,Polysilicon,Adversary,114947.199
2018-03-01,Polysilicon,Intermediary,70109.292
2018-03-01,Rare Earths,Adversary,6821251.5940000005
2018-03-01,Rare Earths,Intermediary,2710605.0
2018-04-01,Gallium/Germanium,Adversary,8910959.0
2018-04-01,Gallium/Germanium,Intermediary,3239195.0
2018-04-01,Graphite,Adversary,26360719.0
2018-04-01,Graphite,Intermediary,7398825.0
2018-04-01,Polysilicon,Adversary,67957.0
2018-04-01,Polysilicon,Intermediary,100389.015
2018-04-01,Rare Earths,Adversary,7461756.8379999995
2018-04-01,Rare Earths,Intermediary,4142356.096
2018-05-01,Gallium/Germanium,Adversary,10231293.263
2018-05-01,Gallium/Germanium,Intermediary,3009663.95
2018-05-01,Graphite,Adversary,33249977.0
2018-05-01,Graphite,Intermediary,7252208.0
2018-05-01,Polysilicon,Adversary,66525.707
2018-05-01,Polysilicon,Intermediary,24073.0
2018-05-01,Rare Earths,Adversary,8392497.07
2018-05-01,Rare Earths,Intermediary,4729197.0
2018-06-01,Gallium/Germanium,Adversary,8673144.0
2018-06-01,Gallium/Germanium,Intermediary,2416071.0
2018-06-01,Graphite,Adversary,37137281.0
2018-06-01,Graphite,Intermediary,8269479.0
2018-06-01,Polysilicon,Adversary,46553.0
2018-06-01,Polysilicon,Intermediary,206450.0
2018-06-01,Rare Earths,Adversary,9062407.0
2018-06-01,Rare Earths,Intermediary,4849456.4399999995
2018-07-01,Gallium/Germanium,Adversary,9470240.683
2018-07-01,Gallium/Germanium,Intermediary,2270654.0
2018-07-01,Graphite,Adversary,37109794.0
2018-07-01,Graphite,Intermediary,9312846.722
2018-07-01,Polysilicon,Adversary,51295.722
2018-07-01,Polysilicon,Intermediary,72017.583
2018-07-01,Rare Earths,Adversary,8256092.542
2018-07-01,Rare Earths,Intermediary,4296959.0
2018-08-01,Gallium/Germanium,Adversary,11250151.201
2018-08-01,Gallium/Germanium,Intermediary,3260095.0
2018-08-01,Graphite,Adversary,26971943.0
2018-08-01,Graphite,Intermediary,8594447.0
2018-08-01,Polysilicon,Adversary,52494.564
2018-08-01,Polysilicon,Intermediary,68506.0
2018-08-01,Rare Earths,Adversary,7793145.698
2018-08-01,Rare Earths,Intermediary,4687778.251
2018-09-01,Gallium/Germanium,Adversary,10067254.0
2018-09-01,Gallium/Germanium,Intermediary,2516833.645
2018-09-01,Graphite,Adversary,31654741.0
2018-09-01,Graphite,Intermediary,8382352.0
2018-09-01,Polysilicon,Adversary,210974.0
2018-09-01,Polysilicon,Intermediary,1195.0
2018-09-01,Rare Earths,Adversary,8218533.802
2018-09-01,Rare Earths,Intermediary,4224820.0
2018-10-01,Gallium/Germanium,Adversary,10078971.392
2018-10-01,Gallium/Germanium,Intermediary,2986959.0
2018-10-01,Graphite,Adversary,37330728.0
2018-10-01,Graphite,Intermediary,8660055.0
2018-10-01,Polysilicon,Adversary,44947.0
2018-10-01,Polysilicon,Intermediary,39614.0
2018-10-01,Rare Earths,Adversary,6243934.335
2018-10-01,Rare Earths,Intermediary,3588570.0
2018-11-01,Gallium/Germanium,Adversary,13045234.281
2018-11-01,Gallium/Germanium,Intermediary,3379823.9359999998
2018-11-01,Graphite,Adversary,28177447.0
2018-11-01,Graphite,Intermediary,8117017.0
