period_dt,sq,broad_group
2017-01-01,0.17909909598547435,Graphite
2017-02-01,0.23612801288448107,Graphite
2017-03-01,0.21739469893235155,Graphite
2017-04-01,0.19306679946893546,Graphite
2017-05-01,0.19273975737303825,Graphite
2017-06-01,0.20891024152045223,Graphite
2017-07-01,0.20835161486471143,Graphite
2017-08-01,0.17667652833737807,Graphite
2017-09-01,0.2253255223639615,Graphite
2017-10-01,0.22357112079300626,Graphite
2017-11-01,0.20040304594738304,Graphite
2017-12-01,0.18761430879363447,Graphite
2018-01-01,0.17776226024410413,Graphite
2018-02-01,0.1797405607185521,Graphite
2018-03-01,0.19471103003007292,Graphite
2018-04-01,0.16602922233163053,Graphite
2018-05-01,0.1703510566035352,Graphite
2018-06-01,0.16544112109441858,Graphite
2018-07-01,0.19190409109266446,Graphite
2018-08-01,0.1667470781374607,Graphite
2018-09-01,0.21687862651972417,Graphite
2018-10-01,0.20635065710019715,Graphite
2018-11-01,0.23670084860890303,Graphite
2018-12-01,0.19964297393870048,Graphite
2019-01-01,0.20818445970894167,Graphite
2019-02-01,0.20379867346509953,Graphite
2019-03-01,0.19698753022189533,Graphite
2019-04-01,0.1732877353033351,Graphite
2019-05-01,0.19929288053905944,Graphite
2019-06-01,0.19942179955282294,Graphite
2019-07-01,0.18772013164961035,Graphite
2019-08-01,0.18145069555777232,Graphite
2019-09-01,0.1958692022290461,Graphite
2019-10-01,0.16358221975394222,Graphite
2019-11-01,0.16654380205642608,Graphite
2019-12-01,0.16745102857483377,Graphite
2020-01-01,0.16518198734970416,Graphite
2020-02-01,0.15892898310895975,Graphite
2020-03-01,0.17208208020163412,Graphite
2020-04-01,0.17724695045009883,Graphite
2020-05-01,0.20658701736556567,Graphite
2020-06-01,0.17925157840098457,Graphite
2020-07-01,0.18744217979781483,Graphite
2020-08-01,0.25444357678919627,Graphite
2020-09-01,0.21723529175190884,Graphite
2020-10-01,0.2142332107041931,Graphite
2020-11-01,0.16619365783253284,Graphite
2020-12-01,0.21110854325188397,Graphite
2021-01-01,0.16086881408214926,Graphite
2021-02-01,0.26677922234601853,Graphite
2021-03-01,0.22347986625965977,Graphite
2021-04-01,0.18911991273746073,Graphite
2021-05-01,0.17401135878265492,Graphite
2021-06-01,0.2857384086233346,Graphite
2021-07-01,0.18613313069063578,Graphite
2021-08-01,0.1755915023513585,Graphite
2021-09-01,0.21073714027699605,Graphite
2021-10-01,0.14873348318846263,Graphite
2021-11-01,0.14480563978921593,Graphite
2021-12-01,0.15320432575932072,Graphite
2022-01-01,0.16344578846154428,Graphite
2022-02-01,0.23414588245511886,Graphite
2022-03-01,0.19605460346825665,Graphite
2022-04-01,0.14512839163791533,Graphite
2022-05-01,0.14559035268320983,Graphite
2022-06-01,0.15115448203110282,Graphite
2022-07-01,0.14201101155612392,Graphite
2022-08-01,0.15677834407934205,Graphite
2022-09-01,0.1957519665048451,Graphite
2022-10-01,0.19930778815808003,Graphite
2022-11-01,0.16197673417133523,Graphite
2022-12-01,0.1459812972663222,Graphite
2023-01-01,0.16725548313846908,Graphite
2023-02-01,0.16617838425314307,Graphite
2023-03-01,0.19187490000800198,Graphite
2023-04-01,0.1582196019483033,Graphite
2023-05-01,0.15614729179230807,Graphite
2023-06-01,0.15145558049531316,Graphite
2023-07-01,0.16417894404471983,Graphite
2023-08-01,0.16186826915262043,Graphite
2023-09-01,0.149023183918574,Graphite
2023-10-01,0.18421886244413377,Graphite
2023-11-01,0.1430867447771699,Graphite
2023-12-01,0.18212423180766601,Graphite
2024-01-01,0.09819312594166625,Graphite
2024-02-01,0.1567062551559013,Graphite
2024-03-01,0.14244658487304232,Graphite
2024-04-01,0.132195647331788,Graphite
2024-05-01,0.14724708662965252,Graphite
2024-06-01,0.1428423874657177,Graphite
2024-07-01,0.11720926401041933,Graphite
2024-08-01,0.11049750029120327,Graphite
2024-09-01,0.10742884460263297,Graphite
2024-10-01,0.12976094015628004,Graphite
2024-11-01,0.15036322294830637,Graphite
2024-12-01,0.1074590425310291,Graphite
2017-01-01,0.2134123090019194,Gallium/Germanium
2017-02-01,0.20783976862242567,Gallium/Germanium
2017-03-01,0.19167534398693978,Gallium/Germanium
2017-04-01,0.23159261468506065,Gallium/Germanium
2017-05-01,0.2564015626317539,Gallium/Germanium
2017-06-01,0.24534714693899531,Gallium/Germanium
2017-07-01,0.24935530299773873,Gallium/Germanium
2017-08-01,0.2934857386645102,Gallium/Germanium
2017-09-01,0.2886784227981909,Gallium/Germanium
2017-10-01,0.3221921375566398,Gallium/Germanium
2017-11-01,0.32950230563334737,Gallium/Germanium
2017-12-01,0.3358158218531047,Gallium/Germanium
2018-01-01,0.2891619691185095,Gallium/Germanium
2018-02-01,0.291192071900398,Gallium/Germanium
2018-03-01,0.3091420451733221,Gallium/Germanium
2018-04-01,0.26874746650324854,Gallium/Germanium
2018-05-01,0.34360972786897986,Gallium/Germanium
2018-06-01,0.2699543991627703,Gallium/Germanium
2018-07-01,0.3346678192737304,Gallium/Germanium
2018-08-01,0.36043722476690837,Gallium/Germanium
2018-09-01,0.3986865886264345,Gallium/Germanium
2018-10-01,0.4079791691800203,Gallium/Germanium
2018-11-01,0.4625327805942737,Gallium/Germanium
2018-12-01,0.3648621221644349,Gallium/Germanium
2019-01-01,0.4323003862850886,Gallium/Germanium
2019-02-01,0.528528059118167,Gallium/Germanium
2019-03-01,0.31659601459848224,Gallium/Germanium
2019-04-01,0.2637438534529016,Gallium/Germanium
2019-05-01,0.3838443149639998,Gallium/Germanium
2019-06-01,0.40969692200420216,Gallium/Germanium
2019-07-01,0.3848304036425856,Gallium/Germanium
2019-08-01,0.39070446476529047,Gallium/Germanium
2019-09-01,0.43798340032448396,Gallium/Germanium
2019-10-01,0.5324763846821781,Gallium/Germanium
2019-11-01,0.5238712351333323,Gallium/Germanium
2019-12-01,0.5011220975582473,Gallium/Germanium
2020-01-01,0.4723250987834119,Gallium/Germanium
2020-02-01,0.43090203105946373,Gallium/Germanium
2020-03-01,0.6204171850457637,Gallium/Germanium
2020-04-01,0.45430575152178626,Gallium/Germanium
2020-05-01,0.4668667230883944,Gallium/Germanium
2020-06-01,0.46499421556917214,Gallium/Germanium
2020-07-01,0.5714291340553174,Gallium/Germanium
2020-08-01,0.5654731886889539,Gallium/Germanium
2020-09-01,0.546578487376106,Gallium/Germanium
2020-10-01,0.6087607193063126,Gallium/Germanium
2020-11-01,0.5433087991445347,Gallium/Germanium
2020-12-01,0.6131248521011288,Gallium/Germanium
2021-01-01,0.5887729738105391,Gallium/Germanium
2021-02-01,0.6264586504802615,Gallium/Germanium
2021-03-01,0.5562821398124441,Gallium/Germanium
2021-04-01,0.531895728619572,Gallium/Germanium
2021-05-01,0.5267376172640529,Gallium/Germanium
2021-06-01,0.5881572984787616,Gallium/Germanium
2021-07-01,0.533117942188887,Gallium/Germanium
2021-08-01,0.4841152049639069,Gallium/Germanium
2021-09-01,0.5857799181453809,Gallium/Germanium
2021-10-01,0.5569291100452262,Gallium/Germanium
2021-11-01,0.5277748114452127,Gallium/Germanium
2021-12-01,0.636511572983026,Gallium/Germanium
2022-01-01,0.5122498596723655,Gallium/Germanium
2022-02-01,0.5807057536940564,Gallium/Germanium
2022-03-01,0.4948792498831233,Gallium/Germanium
2022-04-01,0.5529990313280277,Gallium/Germanium
2022-05-01,0.5508174599700686,Gallium/Germanium
2022-06-01,0.5507161110452304,Gallium/Germanium
2022-07-01,0.4371206615730609,Gallium/Germanium
2022-08-01,0.5105964075143127,Gallium/Germanium
2022-09-01,0.4929648437513634,Gallium/Germanium
2022-10-01,0.5540646619020163,Gallium/Germanium
2022-11-01,0.5200003310179941,Gallium/Germanium
2022-12-01,0.598807318350792,Gallium/Germanium
2023-01-01,0.585636852272055,Gallium/Germanium
2023-02-01,0.6219549903620553,Gallium/Germanium
2023-03-01,0.5896769479558525,Gallium/Germanium
2023-04-01,0.6880894710792348,Gallium/Germanium
