period_dt,bloc,val,qty,uv,hs6,broad_group
2019-10-01,Intermediary,2695780.0,3396845.0,0.7936128966732365,250410,Graphite
2019-11-01,Adversary,16899800.0,7871342.0,2.1470036494412263,250410,Graphite
2019-11-01,Intermediary,4399739.0,4312744.0,1.0201716123192102,250410,Graphite
2019-12-01,Adversary,18369477.0,11767503.0,1.561034401265927,250410,Graphite
2019-12-01,Intermediary,4009751.0,4176914.0,0.959979305295728,250410,Graphite
2020-01-01,Adversary,17249849.0,11144679.0,1.5478103048100353,250410,Graphite
2020-01-01,Intermediary,3213831.0,4896132.0,0.6564020332785145,250410,Graphite
2020-02-01,Adversary,13471077.0,7168171.0,1.8792906865642576,250410,Graphite
2020-02-01,Intermediary,1711859.0,2366073.998,0.7235018860132877,250410,Graphite
2020-03-01,Adversary,28373074.0,11701067.0,2.424827923812418,250410,Graphite
2020-03-01,Intermediary,6848102.0,5912685.0,1.158205113243814,250410,Graphite
2020-04-01,Adversary,28508114.0,12669912.0,2.2500640888429215,250410,Graphite
2020-04-01,Intermediary,2770287.0,3919465.0,0.7068023314406431,250410,Graphite
2020-05-01,Adversary,18128352.0,9016267.0,2.0106272363052247,250410,Graphite
2020-05-01,Intermediary,2515186.0,2674480.0,0.9404392629595286,250410,Graphite
2020-06-01,Adversary,20617794.0,7026233.284,2.9344021421762974,250410,Graphite
2020-06-01,Intermediary,2802216.0,1779674.0,1.5745670274443522,250410,Graphite
2020-07-01,Adversary,22193537.0,8657859.0,2.5633978331132443,250410,Graphite
2020-07-01,Intermediary,4237228.0,3441527.9529999997,1.2312054581182128,250410,Graphite
2020-08-01,Adversary,17430304.0,8696230.0,2.0043517708248286,250410,Graphite
2020-08-01,Intermediary,4117889.0,4818234.202,0.8546469157291496,250410,Graphite
2020-09-01,Adversary,21634887.0,10560366.0,2.0486872329993107,250410,Graphite
2020-09-01,Intermediary,2112722.0,2873374.0,0.7352756724324784,250410,Graphite
2020-10-01,Adversary,19684581.0,9273562.0,2.122655889937437,250410,Graphite
2020-10-01,Intermediary,2402708.0,3379276.0,0.7110126547816751,250410,Graphite
2020-11-01,Adversary,25340099.0,10739439.0,2.359536564246978,250410,Graphite
2020-11-01,Intermediary,3973020.0,3038714.0,1.3074675668720386,250410,Graphite
2020-12-01,Adversary,29872890.0,12555417.0,2.379282981998925,250410,Graphite
2020-12-01,Intermediary,6060666.0,3023660.0,2.0044138560552445,250410,Graphite
2021-01-01,Adversary,17071257.0,10331912.736,1.6522842803847702,250410,Graphite
2021-01-01,Intermediary,2345455.0,3694242.0,0.6348947903250518,250410,Graphite
2021-02-01,Adversary,18970601.0,9361282.0,2.026496050434118,250410,Graphite
2021-02-01,Intermediary,1530955.0,1267743.5350000001,1.2076220132331417,250410,Graphite
2021-03-01,Adversary,19560562.0,12254404.0,1.5962067188253302,250410,Graphite
2021-03-01,Intermediary,2246756.0,2859841.0,0.7856226972058936,250410,Graphite
2021-04-01,Adversary,16789834.0,10293248.0,1.6311502452870075,250410,Graphite
2021-04-01,Intermediary,3583585.0,4323025.0,0.8289531057534943,250410,Graphite
2021-05-01,Adversary,19294567.0,11826737.66,1.6314361199756249,250410,Graphite
2021-05-01,Intermediary,4099447.0,3690183.0,1.1109061528926885,250410,Graphite
2021-06-01,Adversary,20903615.0,14693352.0,1.422658015679472,250410,Graphite
2021-06-01,Intermediary,2346094.0,2132647.0,1.10008548062572,250410,Graphite
2021-07-01,Adversary,22034287.0,13143308.0,1.6764643269411323,250410,Graphite
2021-07-01,Intermediary,1830976.0,2122833.0,0.8625153273950423,250410,Graphite
2021-08-01,Adversary,24766188.0,15516969.0,1.5960712430372195,250410,Graphite
2021-08-01,Intermediary,1397201.0,1899562.0,0.7355385083508724,250410,Graphite
2021-09-01,Adversary,23074681.0,13373595.0,1.7253910410775861,250410,Graphite
2021-09-01,Intermediary,2427755.0,2782038.0,0.8726534288891813,250410,Graphite
2021-10-01,Adversary,17970275.0,11052093.0,1.6259612545786577,250410,Graphite
2021-10-01,Intermediary,2441726.0,2025533.0,1.2054733247989542,250410,Graphite
2021-11-01,Adversary,27248987.0,13462094.0,2.0241269300303504,250410,Graphite
2021-11-01,Intermediary,3915923.0,4377049.0,0.8946491117645702,250410,Graphite
2021-12-01,Adversary,22989436.0,11687658.0,1.966983975746039,250410,Graphite
2021-12-01,Intermediary,4192893.0,3519298.0,1.1914003872363181,250410,Graphite
