partner_name,subgroup,mean_pre,sem_pre,mean_post,sem_post,abs_change,pct_change,se_diff,broad_group
Australia,Ga/Ge Compounds,5.844309968147384,2.2570325920372225,2.2934848618980004,0.16941057159020717,-3.550825106249383,-60.756960626696134,2.263381554949316,Gallium/Germanium
Austria,Ga/Ge Compounds,333.90452574451814,109.93775335800939,223.31771305910527,90.78834237403711,-110.58681268541287,-33.11929134198877,142.57921561164477,Gallium/Germanium
Belgium,Ga/Ge Compounds,6.666735549565331,1.3405425195149239,6.0131781999962515,2.2423035070808632,-0.6535573495690796,-9.803258952002249,2.6124661269563973,Gallium/Germanium
Belgium,Wrought Ga/Ge,1065.8829931564087,33.61872005799273,1143.9163664138487,40.09934817250245,78.03337325743996,7.321007442511025,52.327584142565364,Gallium/Germanium
Brazil,Ga/Ge Compounds,2.9977315075318653,1.5683725930844956,1.3052301229820193,0.11526921547667301,-1.692501384549846,-56.459405396960996,1.5726028051530345,Gallium/Germanium
Canada,Ga/Ge Compounds,10.228694407466975,2.7761323903364072,190.83040285584116,163.32210576428383,180.60170844837418,1765.6379324084064,163.34569826698402,Gallium/Germanium
Canada,Unwrought Ga/Ge,37.451539817257434,11.335990042690351,86.82661073865377,4.335093020466103,49.375070921396336,131.83722528451182,12.136626456477464,Gallium/Germanium
Canada,Wrought Ga/Ge,445.7980132562861,211.08330401198282,351.2894656108241,248.7673033621842,-94.50854764546199,-21.199858419092976,326.25347883924263,Gallium/Germanium
Egypt,Ga/Ge Compounds,24.387555555555554,5.012444444444444,5.152467294724098,2.8389585337309677,-19.235088260831457,-78.87255537773505,5.760580254183242,Gallium/Germanium
France,Ga/Ge Compounds,9.602055947958853,0.815808164260277,7.475388245071205,0.42879947270705454,-2.126667702887648,-22.14804531877074,0.9216354749398328,Gallium/Germanium
Germany,Ga/Ge Compounds,14.988923646479142,3.2858025214284896,10.788810377921829,1.1147727217309706,-4.200113268557313,-28.021446820458713,3.469757402318107,Gallium/Germanium
Germany,Unwrought Ga/Ge,187.90790377663063,21.70081942928012,167.6941468090063,47.813781816369435,-20.213756967624334,-10.757268087910116,52.50793554773985,Gallium/Germanium
Germany,Wrought Ga/Ge,651.2003798333769,115.92680328799638,404.9503380479937,110.8539890470133,-246.25004178538325,-37.814787799784675,160.39834976772408,Gallium/Germanium
Hong Kong,Ga/Ge Compounds,2.43178496059272,0.38664333036692505,0.7957261871923734,0.16734112113649816,-1.6360587734003467,-67.27810229575464,0.4213028788656058,Gallium/Germanium
Hong Kong,Wrought Ga/Ge,784.2742745537478,234.82535586379362,202.8798779432709,116.75345539006241,-581.3943966104769,-74.13151437885558,262.2485788370961,Gallium/Germanium
Hungary,Ga/Ge Compounds,8.618117361111112,1.116716893423224,6.36329663678048,1.4463088929745018,-2.2548207243306324,-26.163727295075077,1.8272564226057453,Gallium/Germanium
India,Ga/Ge Compounds,4.278806092475811,0.4339752330489325,5.546948372897098,0.5626822745094809,1.2681422804212863,29.637759996913328,0.7105954157937118,Gallium/Germanium
India,Unwrought Ga/Ge,113.24089246102601,30.493401029632764,65.07285999301304,10.729422143736524,-48.16803246801297,-42.53589972773387,32.32596488726225,Gallium/Germanium
India,Wrought Ga/Ge,34.97136148761056,6.54344933575035,21.346010834885977,0.9049408079057709,-13.625350652724581,-38.96145323810652,6.605728353129944,Gallium/Germanium
Indonesia,Ga/Ge Compounds,16.260992425768624,7.29715442204894,13.579414009060594,8.934345787205231,-2.68157841670803,-16.49086566486902,11.535640307524341,Gallium/Germanium
Italy,Ga/Ge Compounds,15.037444902818812,4.178694935726735,9.837640244182674,1.2347366229111176,-5.199804658636138,-34.57904379527548,4.357300298788943,Gallium/Germanium
Japan,Ga/Ge Compounds,17.395075097381852,0.9611085090229614,10.222373263782437,0.6024052412959278,-7.172701833599415,-41.234095245032805,1.1342934544716128,Gallium/Germanium
Japan,Unwrought Ga/Ge,120.28611573524563,35.237060571294556,74.1326602746442,17.464733896233632,-46.153455460601435,-38.36972802595685,39.32769212363387,Gallium/Germanium
Japan,Wrought Ga/Ge,294.92625394247074,52.97820961555421,190.43681601841965,24.96313729730188,-104.48943792405109,-35.429005226653416,58.56491200192779,Gallium/Germanium
Kazakhstan,Ga/Ge Compounds,0.8938752017902389,0.47612479820976117,0.8475,0.5225,-0.04637520179023891,-5.188106986004243,0.7068953766083675,Gallium/Germanium
Malaysia,Ga/Ge Compounds,17.72512467515427,1.5417558714474493,20.007384695260487,1.4239690529871334,2.282260020106218,12.875847487297602,2.0987374850151594,Gallium/Germanium
Malaysia,Unwrought Ga/Ge,238.39335063059676,70.34039312342378,226.9147037037037,10.498403499676007,-11.478646926893049,-4.815002975766646,71.11952882858415,Gallium/Germanium
Mexico,Ga/Ge Compounds,6.084906660844697,0.4571868543103347,6.127588397283016,0.4162971086418006,0.042681736438318296,0.7014361734251037,0.6183228140847645,Gallium/Germanium
Netherlands,Ga/Ge Compounds,6.62493915088707,0.9584792488975241,6.240952360765784,0.5231099981246767,-0.3839867901212859,-5.79608025637293,1.091937058948528,Gallium/Germanium
Netherlands,Unwrought Ga/Ge,104.27024109332403,16.217201757454518,80.40096879661903,4.488363355451445,-23.869272296705006,-22.89173981610104,16.82685468091245,Gallium/Germanium
Netherlands,Wrought Ga/Ge,356.20368837785566,250.4271459763165,21.1149,0.3780999999999999,-335.0887883778557,-94.0722399321139,250.4274314076901,Gallium/Germanium
